"address","area","bedrooms","date","floors","price","title","url"
"Đường Đê La Thành, ,, Phường Ngọc Khánh, ,, Quận Ba Đình, , Hà Nội","64 m2","3 phòng ngủ","Hôm nay","3 lầu","7,36 tỷ","64m2 xây 3 tầng mặt tiền 5m nhỉnh 7tỷ Đê La Thành trung tâm Ba Đình","https://alonhadat.com.vn/64m2-xay-3-tang-mat-tien-5m-nhinh-7ty-de-la-thanh-trung-tam-ba-dinh-16306757.html"
"Đường Bát Khối, ,, Phường Thạch Bàn, ,, Quận Long Biên, , Hà Nội","30 m2","3 phòng ngủ","Hôm nay","5 lầu","4,9 tỷ","NHỈNH 4 TỶ - 30M 5 TẦNG - NHÀ MỚI - FULL NỘI THẤT - 2 PHÚT TỚI CẦU VĨNH TUY","https://alonhadat.com.vn/nhinh-4-ty-30m-5-tang-nha-moi-full-noi-that-2-phut-toi-cau-vinh-tuy-16277733.html"
"Đường Kim Mã, ,, Phường Kim Mã, ,, Quận Ba Đình, , Hà Nội","56 m2","5 phòng ngủ","Hôm nay","5 lầu","11,95 tỷ","56M NHỈNH 11 TỶ - TRUNG TÂM QUẬN BA ĐÌNH - NGÕ NÔNG - 50M RA PHỐ - NHÀ DÂN XÂY MỚI","https://alonhadat.com.vn/56m-nhinh-11-ty-trung-tam-quan-ba-dinh-ngo-nong-50m-ra-pho-nha-dan-xay-moi-16278066.html"
"Đường Cầu Giấy, ,, Phường Quan Hoa, ,, Quận Cầu Giấy, , Hà Nội","36 m2","4 phòng ngủ","Hôm nay","6 lầu","9,8 tỷ","CẦU GIẤY - 6T THANG MÁY - Ô TÔ CON ĐỖ CỬA - THÔNG SÀN 4 NGỦ NHÀ ĐẸP SẴN","https://alonhadat.com.vn/cau-giay-6t-thang-may-o-to-con-do-cua-thong-san-4-ngu-nha-dep-san-16285244.html"
"Đường Trường Chinh, ,, Phường Phương Mai, ,, Quận Đống Đa, , Hà Nội","60 m2","3 phòng ngủ","Hôm nay","","3,43 tỷ","Nhà tập thể mặt phố Trường Chinh 60m2, 3PN, 2VS đủ nội thất về ở ngay","https://alonhadat.com.vn/nha-tap-the-mat-pho-truong-chinh-60m2-3pn-2vs-du-noi-that-ve-o-ngay-16285748.html"
"Xã Ngọc Hồi, ,, Huyện Thanh Trì, , Hà Nội","42 m2","5 phòng ngủ","Hôm qua","5 lầu","6,8 tỷ","BÁN NHÀ 5 TẦNG, 5 NGỦ, 42,3m2, MẶT TIỀN 6,9 m, LÔ GÓC, NGÕ THÔNG ÔTÔ - NGỌC HỒI THANH TRÌ","https://alonhadat.com.vn/ban-nha-5-tang-5-ngu-42-3m2-mat-tien-6-9-m-lo-goc-ngo-thong-oto-ngoc-hoi-thanh-tri-16297926.html"
"Đường Mậu Lương, ,, Phường Kiến Hưng, ,, Quận Hà Đông, , Hà Nội","36 m2","3 phòng ngủ","Hôm qua","5 lầu","6,7 tỷ","NHÀ 5 TẦNG THANG MÁY GẦN XaLa 36M2 THÔNG KINH DOANH GIÁ 6 tỷ x","https://alonhadat.com.vn/nha-5-tang-thang-may-gan-xala-36m2-thong-kinh-doanh-gia-6-ty-x-16241512.html"
"Đường Nam Dư, ,, Phường Lĩnh Nam, ,, Quận Hoàng Mai, , Hà Nội","43 m2","3 phòng ngủ","Hôm qua","5 lầu","12,6 tỷ","Lô góc,oto tránh, oto vào nhà, vỉa hè kinh doanh tốt, thanh máy view đẹp,giá 12.6 tỷ.","https://alonhadat.com.vn/lo-goc-oto-tranh-oto-vao-nha-via-he-kinh-doanh-tot-thanh-may-view-dep-gia-12-6-ty--16297309.html"
"Đường Dương Văn Bé, ,, Phường Vĩnh Tuy, ,, Quận Hai Bà Trưng, , Hà Nội","43 m2","6 phòng ngủ","Hôm qua","5 lầu","8,5 tỷ","BÁN NHÀ HAI BÀ TRƯNG - 43M2 - 5 TẦNG - NGÕ THOÁNG - GẦN MẶT PHỐ - NHÀ XÂY TÂM HUYẾT -8,5TỶ","https://alonhadat.com.vn/ban-nha-hai-ba-trung-43m2-5-tang-ngo-thoang-gan-mat-pho-nha-xay-tam-huyet-8-5ty-16296205.html"
"Đường Ven Hồ Linh Quang, ,, Phường Văn Chương, ,, Quận Đống Đa, , Hà Nội","68 m2","","Hôm qua","","14 tỷ","Tòa CHDV Văn Chương, ô tô, view hồ, 68m2*7T, MT 6M, 18 phòng KK, đủ PCCC, lãi ~7.5%/năm","https://alonhadat.com.vn/toa-chdv-van-chuong-o-to-view-ho-68m2-7t-mt-6m-18-phong-kk-du-pccc-lai-7-5-nam-15565015.html"
"Phố Xã Đàn, ,, Phường Phương Liên, ,, Quận Đống Đa, , Hà Nội","65 m2","","Hôm qua","","11 tỷ","Woww! Tòa CHDV cách mặt phố Xã Đàn 30M, 65m2*7T, 18 phòng KK, đủ PCCC, dòng tiền 9.5%/năm.","https://alonhadat.com.vn/woww-toa-chdv-cach-mat-pho-xa-dan-30m-65m2-7t-18-phong-kk-du-pccc-dong-tien-9-5-nam--15654825.html"
"Phố Trung Kính, ,, Phường Yên Hòa, ,, Quận Cầu Giấy, , Hà Nội","80 m2","25 phòng ngủ","Hôm qua","7 lầu","15,9 tỷ","Hàng kín! Toà CHDV Trung Kính, 80m2*7T, MT 6.3M, 25 PKK, đủ PCCC/GPXD, sát phố, DT 8%/năm!","https://alonhadat.com.vn/hang-kin-toa-chdv-trung-kinh-80m2-7t-mt-6-3m-25-pkk-du-pccc-gpxd-sat-pho-dt-8-nam--16143203.html"
"Phố Chùa Láng, ,, Phường Láng Thượng, ,, Quận Đống Đa, , Hà Nội","133 m2","25 phòng ngủ","Hôm qua","7 lầu","20,9 tỷ","Quá rẻ! Toà CCMN Chùa Láng, 133m2*7T, MT 5.4M, 25 PKK, đủ PCCC/GPXD, ngõ ô tô, DT 8%/năm.","https://alonhadat.com.vn/qua-re-toa-ccmn-chua-lang-133m2-7t-mt-5-4m-25-pkk-du-pccc-gpxd-ngo-o-to-dt-8-nam--16158854.html"
"Đường Hồ Tùng Mậu, ,, Phường Mai Dịch, ,, Quận Cầu Giấy, , Hà Nội","110 m2","25 phòng ngủ","Hôm qua","8 lầu","38 tỷ","Hiếm! Toà CHDV Mặt Phố Hồ Tùng Mậu, 110m2*7T, MT 7M, 25 phòng KK, đủ PCCC/GPXD, DT 5%/ năm","https://alonhadat.com.vn/hiem-toa-chdv-mat-pho-ho-tung-mau-110m2-7t-mt-7m-25-phong-kk-du-pccc-gpxd-dt-5-nam-16159766.html"
"Phố Đội cấn, ,, Phường Vĩnh Phúc, ,, Quận Ba Đình, , Hà Nội","75 m2","","Hôm qua","","19,9 tỷ","Toà Apartment Đội Cấn, 75m2*9T, MT 7M, 20 căn hộ KK, đủ GPXD/PCCC, ngõ ô tô, DT ~9%/năm!","https://alonhadat.com.vn/toa-apartment-doi-can-75m2-9t-mt-7m-20-can-ho-kk-du-gpxd-pccc-ngo-o-to-dt-9-nam--16270961.html"
"Đường Phú Mỹ, ,, Phường Biên Giang, ,, Quận Hà Đông, , Hà Nội","55 m2","2 phòng ngủ","Hôm qua","1 lầu","2,55 tỷ","HÀNG HOT CỰC HIẾM CHỦ BÁN ĐẤT TẶNG 2 CĂN NHÀ LIỀN KỀ 10M RA Ô TÔ TRÁNH ĐỖ","https://alonhadat.com.vn/hang-hot-cuc-hiem-chu-ban-dat-tang-2-can-nha-lien-ke-10m-ra-o-to-tranh-do-16294873.html"
"Xã Bình Yên, ,, Huyện Thạch Thất, , Hà Nội","75 m2","","Hôm qua","","2,5 tỷ","75m đất nền Công nghệ cao Hoà Lạc giá hơn 2 tỷ","https://alonhadat.com.vn/75m-dat-nen-cong-nghe-cao-hoa-lac-gia-hon-2-ty-16294564.html"
"Đường Nguyễn Chí Thanh, ,, Phường Láng Hạ, ,, Quận Đống Đa, , Hà Nội","92 m2","4 phòng ngủ","Hôm qua","5 lầu","15,6 tỷ / m2","Nhà hiếm khu phân lô cách ô tô 7-8m","https://alonhadat.com.vn/nha-hiem-khu-phan-lo-cach-o-to-7-8m-16294472.html"
"Đường Cổ Loa, ,, Xã Đông Hội, ,, Huyện Đông Anh, , Hà Nội","47 m2","1 phòng ngủ","Hôm qua","","108 triệu / m2","Chính chủ cần bán căn hộ 1PN+1 Imperira Cổ Loa Tòa Y5, tầng cao, trục 01","https://alonhadat.com.vn/chinh-chu-can-ban-can-ho-1pn-1-imperira-co-loa-toa-y5-tang-cao-truc-01-16273646.html"
"Đường Đông Dư Thượng, ,, Xã Đông Dư, ,, Huyện Gia Lâm, , Hà Nội","41 m2","","Hôm qua","","4 tỷ","Bán đất mặt ngõ Đông Dư, 41m2, đường ô tô thông giá chỉ 4 tỷ","https://alonhadat.com.vn/ban-dat-mat-ngo-dong-du-41m2-duong-o-to-thong-gia-chi-4-ty-15884911.html"
"Đường Kiêu Kỵ, ,, Xã Kiêu Kỵ, ,, Huyện Gia Lâm, , Hà Nội","42 m2","4 phòng ngủ","Hôm qua","4 lầu","5,8 tỷ","Bán nhà 4 tầng tại Kiêu Kỵ, Gara ô tô 7 chỗ, view hồ, full nội thất,cách Vin 300m 5.8 tỷ","https://alonhadat.com.vn/ban-nha-4-tang-tai-kieu-ky-gara-o-to-7-cho-view-ho-full-noi-that-cach-vin-300m-5-8-ty-15906785.html"
"Đường Đông Dư Thượng, ,, Xã Đông Dư, ,, Huyện Gia Lâm, , Hà Nội","37 m2","4 phòng ngủ","Hôm qua","4 lầu","5,5 tỷ","Bán nhà trục chính Đông Dư, 37m2, 4 tầng, kinh doanh đỉnh, chỉ 5.5 tỷ","https://alonhadat.com.vn/ban-nha-truc-chinh-dong-du-37m2-4-tang-kinh-doanh-dinh-chi-5-5-ty-16198942.html"
"Đường Thụy Lâm, ,, Xã Thụy Lâm, ,, Huyện Đông Anh, , Hà Nội","87 m2","","Hôm qua","","62 triệu / m2","Bán Đất trục Kinh Doanh Khu 5 - Thụy Lôi - Thụy Lâm, đường ô tô tránh, giá chỉ 6x bé xíu","https://alonhadat.com.vn/ban-dat-truc-kinh-doanh-khu-5-thuy-loi-thuy-lam-duong-o-to-tranh-gia-chi-6x-be-xiu-16293383.html"
"Đường Vân Hà, ,, Xã Vân Hà, ,, Huyện Đông Anh, , Hà Nội","68 m2","","Hôm qua","","65 triệu / m2","Cạnh bìa làng Thiết BÌnh - Vân Hà có mảnh đất 68m2 nở hậu, đường trước đất 4m thông","https://alonhadat.com.vn/don-song-vin-group-manh-dat-68m2-thiet-binh-van-ha-duong-thong-to-chay-gan-bia-lang-16184349.html"
"Đường Nguyễn Trãi, ,, Phường Thanh Xuân Trung, ,, Quận Thanh Xuân, , Hà Nội","80 m2","18 phòng ngủ","13/04/2025","7 lầu","15,5 tỷ","TÒA CĂN HỘ DÒNG TIỀN CAO CẤP FULL ĐỒ 💥 7 TẦNG THANG MÁY MỚI CÓNG💥 PHÒNG CHÁY CHUẨN ĐỦ ĐỒ","https://alonhadat.com.vn/toa-can-ho-dong-tien-cao-cap-full-do-7-tang-thang-may-moi-cong-phong-chay-chuan-du-do-16291561.html"
"Đường Khương Trung, ,, Phường Khương Trung, ,, Quận Thanh Xuân, , Hà Nội","37 m2","6 phòng ngủ","Hôm qua","5 lầu","10,5 tỷ","🏡 SIÊU PHẨM KHƯƠNG TRUNG – THANH XUÂN","https://alonhadat.com.vn/-sieu-pham-khuong-trung-thanh-xuan-16294600.html"
"Phố Võ Thị Sáu, ,, Phường Thanh Nhàn, ,, Quận Hai Bà Trưng, , Hà Nội","30 m2","2 phòng ngủ","Hôm qua","3 lầu","5,3 tỷ","Bàn Nhà cạnh hồ Võ Thị Sáu. sổ đỏ chính chủ. kinh doanh bất chấp","https://alonhadat.com.vn/ban-nha-canh-ho-vo-thi-sau-so-do-chinh-chu-16294423.html"
"Đường Hà Kế Tấn, ,, Phường Phương Liệt, ,, Quận Thanh Xuân, , Hà Nội","28 m2","3 phòng ngủ","Hôm qua","6 lầu","5,98 tỷ","HƠN 5 TỶ CÓ NHÀ ĐẸP VỀ Ở LUÔN NGAY LÊ TRỌNG TẤN TT QUẬN THANH XUÂN","https://alonhadat.com.vn/hon-5-ty-co-nha-dep-ve-o-luon-ngay-le-trong-tan-tt-quan-thanh-xuan-16294293.html"
"Đường Kiêu Kỵ, ,, Xã Kiêu Kỵ, ,, Huyện Gia Lâm, , Hà Nội","58 m2","","Hôm qua","","5,1 tỷ","Lô góc 58m tại Kiêu Kỵ, Gia Lâm, Hà Nội - Đường ô tô vào nhà, cách đường QL chỉ 15m","https://alonhadat.com.vn/lo-goc-58m-tai-kieu-ky-gia-lam-ha-noi-duong-o-to-vao-nha-cach-duong-ql-chi-15m-16127740.html"
"Đường Đa Tốn, ,, Xã Đa Tốn, ,, Huyện Gia Lâm, , Hà Nội","68 m2","","Hôm qua","","5,77 tỷ","68m tại Đa Tốn, Gia Lâm, Hà Nội - Đường 4m, cách đường ô tô tải tránh nhau chỉ 15m","https://alonhadat.com.vn/68m-tai-da-ton-gia-lam-ha-noi-duong-4m-cach-duong-o-to-tai-tranh-nhau-chi-15m-16127809.html"
"Đường Lĩnh Nam, ,, Phường Lĩnh Nam, ,, Quận Hoàng Mai, , Hà Nội","37 m2","3 phòng ngủ","Hôm qua","6 lầu","6,5 tỷ","HIẾM CÓ KHÓ TÌM ! LĨNH NAM - HOÀNG MAI 37M 6 TẦNG THANG  MÁY, Ô TÔ ĐỖ CỬA, CHỈ 6.x tỷ","https://alonhadat.com.vn/hiem-co-kho-tim-linh-nam-hoang-mai-37m-6-tang-thang-may-o-to-do-cua-chi-6-x-ty-16292950.html"
"Xã Vân Tảo, ,, Huyện Thường Tín, , Hà Nội","105 m2","","Hôm qua","","16 triệu / m2","CẦN BÁN 100M2 ĐẤT TẠI THƯỜNG TÍN HÀ NỘI, GIÁ 16 TRIỆU/M","https://alonhadat.com.vn/can-ban-100m2-dat-tai-thuong-tin-ha-noi-gia-16-trieu-m-16086340.html"
"Phố Tân Mai, ,, Phường Tân Mai, ,, Quận Hoàng Mai, , Hà Nội","42 m2","3 phòng ngủ","Hôm qua","6 lầu","9,95 tỷ","Bán nhà phố Tân Mai, quận Hoàng Mai, 6 tầng mới ô tô vào nhà, gần phố tiện ích ngập tràn","https://alonhadat.com.vn/ban-nha-pho-tan-mai-quan-hoang-mai-6-tang-moi-o-to-vao-nha-gan-pho-tien-ich-ngap-tran-16292878.html"
"Đường Cổ Điển A, ,, Xã Tứ Hiệp, ,, Huyện Thanh Trì, , Hà Nội","32 m2","3 phòng ngủ","13/04/2025","4 lầu","4,85 tỷ","Bán nhà Cổ Điển A, Tứ Hiệp, Vị trí Víp Oto đỗ cửa ngày đêm, Dt32m x 4t, Mt3.5m, giá 4.x tỷ","https://alonhadat.com.vn/ban-nha-co-dien-a-tu-hiep-vi-tri-vip-oto-do-cua-ngay-dem-dt32m-x-4t-mt3-5m-gia-4-x-ty-16047159.html"
"Đường Lê Quang Đạo, ,, Phường Phú Đô, ,, Quận Nam Từ Liêm, , Hà Nội","36 m2","4 phòng ngủ","13/04/2025","6 lầu","8 tỷ","CÓ 102 ! BÁN NHÀ NAM TỪ LIÊM - 36M - 6T - KD- THANG MÁY CHẠY - OTO 7 CHỖ ĐỖ - NHỈNH 8 TỶ","https://alonhadat.com.vn/co-102-ban-nha-nam-tu-liem-dt-36m-o-to-7-cho-chay-thang-may-nhinh-7-ty-16240479.html"
"Đường Minh Khai, ,, Phường Minh Khai, ,, Quận Hai Bà Trưng, , Hà Nội","32 m2","3 phòng ngủ","13/04/2025","5 lầu","6,35 tỷ","Bán nhà phố Minh Khai quận Hai Bà, gần phố gần chợ Gốc Đề tiện ích cực tốt, thuận tiện đi","https://alonhadat.com.vn/ban-nha-pho-minh-khai-quan-hai-ba-gan-pho-gan-cho-goc-de-tien-ich-cuc-tot-thuan-tien-di-16288985.html"
"Đường Nguyễn An Ninh, ,, Phường Đồng Tâm, ,, Quận Hai Bà Trưng, , Hà Nội","46 m2","5 phòng ngủ","13/04/2025","5 lầu","11,9 tỷ","Nhà ngõ 104 Nguyễn An Ninh. MB47m2*5T thang Máy. vị trí đẹp","https://alonhadat.com.vn/nha-46m2-5t-thang-may-kpl-ngo-104-nguyen-an-ninh-vi-tri-dep-16288817.html"
"Đường Cầu Giấy, ,, Phường Quan Hoa, ,, Quận Cầu Giấy, , Hà Nội","40 m2","6 phòng ngủ","13/04/2025","4 lầu","9,8 tỷ","🏠 CHÍNH CHỦ GỬI BÁN NHÀ QUAN HOA – CẦU GIẤY 💥","https://alonhadat.com.vn/-chinh-chu-gui-ban-nha-quan-hoa-cau-giay--16288531.html"
"Xã Hạ Bằng, ,, Huyện Thạch Thất, , Hà Nội","68 m2","","13/04/2025","","2,3 tỷ","Bán đất Hạ Bằng, giáp công nghệ cao, phù hợp xây trọ, DT 68m2, chỉ 2,3 Tỷ.","https://alonhadat.com.vn/ban-dat-ha-bang-giap-cong-nghe-cao-phu-hop-xay-tro-dt-68m2-chi-nhinh-2-ty--16242044.html"
"Đường Bà Triệu, ,, Phường Hà Cầu, ,, Quận Hà Đông, , Hà Nội","100 m2","","12/04/2025","","36,9 tỷ","SIÊU HOT -Bán 105m² đất mặt phố Bà Triệu- Hà Đông-Hà Nội","https://alonhadat.com.vn/ban-sieu-pham-100m-dat-mat-pho-ba-trieu-ha-dong-mt-7-3m-no-hau-7-5m-thong-so-vang-14168475.html"
"Phố Bùi Quốc Khái, ,, Phường Hoàng Liệt, ,, Quận Hoàng Mai, , Hà Nội","132 m2","39 phòng ngủ","12/04/2025","9 lầu","39,9 tỷ","BÁN NHÀ ĐẤT MẶT HỒ LINH ĐÀM 132M Ô TÔ TRÁNH VI TRÍ ĐÁC ĐỊA","https://alonhadat.com.vn/ban-nha-dat-mat-ho-linh-dam-132m-o-to-tranh-vi-tri-dac-dia-16179474.html"
"Đường Mễ Trì Hạ, ,, Phường Mễ Trì, ,, Quận Nam Từ Liêm, , Hà Nội","186 m2","66 phòng ngủ","11/04/2025","5 lầu","60 tỷ","Biệt Thự Mễ Trì Hạ 186M - 5 Tầng - Mặt Tiền 12M Giá 60 Tỷ","https://alonhadat.com.vn/biet-thu-me-tri-ha-186m-5-tang-mat-tien-12m-gia-60-ty-16279836.html"
"Đường Long Châu, ,, Xã Phụng Châu, ,, Huyện Chương Mỹ, , Hà Nội","702 m2","","11/04/2025","","30 triệu / m2","Chính chủ cần tiền bán đất thổ cư, diện tích lớn, đường oto tải tránh","https://alonhadat.com.vn/chinh-chu-can-tien-ban-dat-tho-cu-dien-tich-lon-duong-oto-tai-tranh-16275412.html"
"Xã Song Phương, ,, Huyện Hoài Đức, , Hà Nội","71 m2","","11/04/2025","","117 triệu / m2","Bán 71m2 đất dịch vụ Song Phương hướng Đông Nam mặt tiền 4.6m","https://alonhadat.com.vn/ban-71m2-dat-dich-vu-song-phuong-huong-dong-nam-mat-tien-4-6m-15045036.html"
"Đường Lĩnh Nam, ,, Phường Lĩnh Nam, ,, Quận Hoàng Mai, , Hà Nội","35 m2","3 phòng ngủ","11/04/2025","5 lầu","5,16 tỷ","1 CĂN DUY NHÂT - 35M x 5 Tầng x 3 Ngủ Giá chỉ 5.16 tỷ tại Lĩnh Nam Hoàng Mai","https://alonhadat.com.vn/1-can-duy-nhat-35m-x-5-tang-x-3-ngu-gia-chi-5-16-ty-tai-linh-nam-hoang-mai-16272164.html"
"Phố Nghĩa Dũng, ,, Phường Phúc Xá, ,, Quận Ba Đình, , Hà Nội","40 m2","4 phòng ngủ","Hôm nay","6 lầu","8,5 tỷ","NGHĨA DŨNG- BA ĐÌNH,MẶT NGÕ THÔNG,THANG MÁY,40M*6 TẦNG,NHỈNH 8 ĐỒNG","https://alonhadat.com.vn/nghia-dung-ba-dinh-mat-ngo-thong-thang-may-40m-6-tang-nhinh-8-dong-16302337.html"
"Đường Phú Mãn, ,, Xã Phú Mãn, ,, Huyện Quốc Oai, , Hà Nội","75 m2","","Hôm nay","","1,98 tỷ","Chính chủ bán lô đất đẹp nhất Phú Mãn, Quốc Oai, Hà Nội giá rẻ nhất","https://alonhadat.com.vn/chinh-chu-ban-lo-dat-dep-nhat-phu-man-quoc-oai-ha-noi-gia-re-nhat-16303830.html"
"Đường Đa Tốn, ,, Xã Đa Tốn, ,, Huyện Gia Lâm, , Hà Nội","51 m2","","Hôm nay","","4,75 tỷ","chủ đất cần bán gấp nhanh lô đất vô cùng đẹp 51m đường oto vào đất","https://alonhadat.com.vn/chu-dat-can-ban-gap-nhanh-lo-dat-vo-cung-dep-112m-duong-oto-vao-dat-14936112.html"
"Đường Kim Hồ, ,, Xã Lệ Chi, ,, Huyện Gia Lâm, , Hà Nội","65 m2","","Hôm nay","","57 triệu / m2","chủ đất vỡ nợ cần bán lô đất 65m đường oto tránh vô cùng đẹp","https://alonhadat.com.vn/chu-dat-vo-no-can-ban-lo-dat-65m-duong-oto-tranh-vo-cung-dep-16259272.html"
"Huyện Thạch Thất, , Hà Nội","102 m2","","Hôm nay","","2,195 tỷ","Bán mảnh đất đẹp Lại Thượng,Thạch Thất hơn 100m rẻ nhất thị thường","https://alonhadat.com.vn/dat-nen-hoa-lac-gia-re-110m-gia-chi-nhinh-19tr-m-16139762.html"
