"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Mức giá internet","Mức giá nước","Mức giá điện","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","Thời gian dự kiến vào ở","Tiện ích","title","url","Đường vào"
"55 m²","","Nam","6 m","4,2 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","","","Bán nhà riêng 2PN, 2WC, 55m2 tại Đường 8, Long Bình, Q9, Hồ Chí Minh, giá siêu hời 4,2 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-8-2-phuong-long-binh-3/ban-2pn-2wc-55m2-tai-8-q9-ho-chi-minh-gia-sieu-hoi-4-2-ty-pr42881427","6 m"
"32 m²","","","","2,35 tỷ","","","","Full.","","1 phòng","1 phòng","","","","Cần bán gấp officetel Rivergate, 32m2, full nội thất, lầu cao, giá 2.350 tỷ. LH: 0906 378 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-6-prj-river-gate/-ban-gap-officetel-rivergate-32m2-full-noi-that-lau-cao-gia-2-250-ty-lh-0906-378-770-pr33025974",""
"107 m²","Tây - Bắc","Đông - Nam","","11 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Tin chuẩn, căn 3PN view sông cần bán nhanh giá 11 tỷ đã có sổ hồng, view cận sông, tầng cao full NT","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bat-nan-phuong-thanh-my-loi-prj-one-verandah-mapletree/tinn-chuan-3pn-view-song-ban-nhanh-gia-8-5-ty-bao-het-co-thuong-luong-tro-khach-vay-pr41651597",""
"256 m²","","Tây - Nam","16 m","45 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Cần bán đất giá 45 tỷ VND tại Đường Bùi Tá Hán, Quận 2, Hồ Chí Minh","https://batdongsan.com.vn/ban-dat-duong-bui-ta-han-phuong-an-phu/can-ban-gia-46-ty-vnd-i-quan-2-ho-chi-minh-pr41178994?source=ad&adid=2987301","16 m"
"60 m²","","","","2 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Bán căn hộ The Parkland giá rẻ dt 59m2,hỗ trợ vay bank chỉ 2.150tr","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hiep-thanh-3-prj-hiep-thanh-city/ban-the-parkland-gia-re-dt-59m2-tro-vay-bank-chi-2-150tr-pr42117949",""
"160 m²","","","","53 tỷ","","","","Cơ bản.","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","5 tầng","","","Cần bán nhà 2 mặt tiền đường Nguyễn Trãi, Q5 8.1x20m 3 lầu giá chỉ 53 tỷ - căn duy nhất","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-trai-phuong-7-4/can-ban-2-tien-q5-8-1x20m-3-lau-gia-chi-53-ty-can-duy-t-pr42489806",""
"150 m²","","Đông - Nam","8 m","17,5 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán góc 150m2 ngang 8m đường Lương Nhữ Hộc đối diện BV Quốc Tế Vinmec. LH: 0793 258 ***","https://batdongsan.com.vn/ban-dat-duong-luong-nhu-hoc-phuong-hoa-cuong-bac/ban-goc-150m-ngang-8m-doi-dien-bv-quoc-te-vinmec-lh-pr42672567","7,5 m"
"48 m²","Nam","","","Thỏa thuận","","","","Full NT liền tường","Đang chờ sổ","1 phòng","1 phòng","","","","Căn hộ biển Mỹ Khê Đà Nẵng DK từ 2tỷx, full NT liền tường, HT vay miễn lãi 30 th cho thuê 20tr/th","https://batdongsan.com.vn/ban-condotel-duong-vuong-thua-vu-phuong-phuoc-my-prj-sun-costa-residence/can-ho-bien-khe-da-nang-tu-2tyx-full-nt-lien-tuong-ht-vay-mien-lai-30th-cho-thue-20tr-th-pr42892270?source=ad&adid=2990190",""
"82,5 m²","","","","4,8 tỷ","","","","Cơ bản.","Hợp đồng mua bán.","2 phòng","2 phòng","","","","Những góc nhìn mới về dự án căn hộ đáng đầu tư tại mặt biển Đà Nẵng, The Sang Residence, Maichiland","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-kiet-phuong-khue-my-prj-the-sang-residence/nhung-goc-nhin-moi-ve-du-an-dang-dau-tu-tai-mat-bien-da-nang-maichiland-pr41094142",""
"83 m²","Đông","Bắc","","Thỏa thuận","","","","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","The Legend City, căn hộ ven sông Hàn, biểu tượng mới ngay đầu cầu Rồng với giá đợt đầu từ CĐT","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-an-hai-nam-prj-the-legend-city/-ven-song-han-bieu-tuong-moi-ngay-dau-cau-rong-voi-gia-dot-dau-tu-cdt-pr42833480?source=ad&adid=2981546",""
"110 m²","Đông - Nam","Đông - Nam","5 m","4,5 tỷ","","","","","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","5 tầng","","","CHÍNH THỨC NHẬN BOOKING NHÀ PHỐ 4,5 TẦNG CỬA NGÕ KINH TẾ QUY NHƠN,SỔ HỒNG LÂU DÀI,GIÁ CHỈ 45TR /M2","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-tran-quang-dieu-prj-solera-quy-nhon/chinh-thuc-n-booking-4-5-tang-cua-ngo-kinh-te-so-hong-lau-dai-gia-chi-45tr-m2-pr42912024","17,5 m"
"2.230 m²","","","90 m","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","","","","","","90m2 Mặt tiền đường, đất vườn rộng 2230m2, sau lưng trường tiểu học","https://batdongsan.com.vn/ban-dat-xa-tan-hiep-2/90m-mat-tien-duong-vuon-rong-2230m2-sau-lung-truong-tieu-hoc-pr42912150","42 m"
"160 m²","","","8 m","30 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","7 phòng","7 phòng","5 tầng","","","Bán Biệt thự -Khu Cư Xá Tự do Quận Tân Bình - 8x20m -Nhà 5 tầng - nội thất cao cấp - Giá chỉ 30 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-7-12/ban-biet-thu-khu-cu-xa-tu-do-quan-tan-binh-8x20m-5-tang-noi-that-cao-cap-gia-chi-30-ty-pr42917962","18 m"
"75 m²","Nam","Bắc","","2,75 tỷ","","","","Cơ bản.","Hợp đồng mua bán","2 phòng","2 phòng","","","","Bán căn hộ 2 phòng ngủ Tulip, Hoàng Quốc Việt, Quận 7 giá 2,750 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-tulip-tower/ban-2-png-ngu-ang-quan-7-gia-2-8-ty-pr42744075",""
"60 m²","","Đông","4 m","3,8 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","2 tầng","","","Nhà 60m2 - 2 tầng - hẻm ôtô thông - sát ngã tư Bốn Xã - chợ Gò Xoài - Bình Tân","https://batdongsan.com.vn/ban-nha-rieng-duong-lo-tu-phuong-binh-hung-hoa-a/-60m2-2tang-hem-oto-thong-sat-nga-bon-xa-cho-go-xoai-tan-pr42910865","5 m"
"53 m²","","","4,5 m","3,75 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán Đất HXH Đường Số 11 Kênh Tham Lương Giáp Tân Phú 53m2 (4,5x12) Giá Tốt 3,75 Tỷ SHR","https://batdongsan.com.vn/ban-dat-duong-so-11-phuong-binh-hung-hoa/ban-hxh-11-kenh-tham-luong-giap-tan-phu-53m2-4-5x12-gia-tot-3-75-ty-shr-pr42916030","6 m"
"260 m²","Đông - Nam","Đông - Nam","10 m","5,4 tỷ","","","","","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","","","","Chính chủ gửi bán nhà đẹp tại Tân Bình, Dĩ An DT 260m2 (10x26m) gần đường liên huyện","https://batdongsan.com.vn/ban-nha-rieng-duong-lien-huyen-phuong-tan-binh/chinh-chu-gui-ban-ban-dep-tai-di-an-dt-260m-10x26-gan-huyen-pr42850993","7 m"
"30 m²","","","","5,5 triệu/tháng","","","","Không nội thất","","","1 phòng","","","","Cho thuê mặt tiền kinh doanh ngay Sóng Thần, ngã tư 550, cạnh Vincom Dĩ An","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-duong-d4-phuong-di-an/cho-phong-tro-cao-cap-ngay-song-than-nga-tu-550-pr40759578",""
"73 m²","","","5 m","2,55 tỷ","","","","","Sổ đỏ/ Sổ hồng.","2 phòng","1 phòng","1 tầng","","","Bán rẻ nhà Bình An, Dĩ An gần Thủ Đức","https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-1k-phuong-binh-an-1/b-re-di-g-thu-duc-pr42862060","2 m"
"133 m²","","Tây - Nam","7 m","42,5 triệu/m²","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất mặt đường 35m, kinh doanh tốt, khu quy hoạch Xuân Đồng, Nghi Đức","https://batdongsan.com.vn/ban-dat-xa-nghi-duc/ban-mat-duong-35m-kinh-doanh-tot-khu-quy-hoach-xuan-dong-duc-pr41622257","35 m"
"30 m²","Bắc","Bắc","5 m","3,5 triệu/tháng","Thỏa thuận","Theo nhà cung cấp","Theo nhà cung cấp","Không nội thất","","","1 phòng","1 tầng","Ở ngay","","Cho thuê gấp cửa hàng, ki ốt tại Nguyễn Bỉnh Khiêm, Hưng Dũng, Vinh, Nghệ An, 3,5 triệu, 30 m2","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-duong-nguyen-binh-khiem-phuong-hung-dung/cho-gap-tai-vinh-nghe-an-3-5-trieu-30-m2-pr42032816","8 m"
"45 m²","","","","2,45 tỷ","","","","Cơ bản","","1 phòng","1 phòng","","","","Chỉ 2,5 Tỷ Có Ngay Căn Hộ Biển Mỹ Khê Của CDT Sun Group - Khai Thác Cho Thuê 18 Triệu/Tháng","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vuong-thua-vu-phuong-phuoc-my/chi-2-5-ty-co-ngay-bien-khe-cua-cdt-sun-group-khai-thac-c-thue-18-trieu-thang-pr42916877",""
"33,8 m²","Đông - Nam","Tây - Bắc","","2,45 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng","","","","Bán CH 1PN, 1WC tại Sun Costa Residence, 2,45 tỷ, 33,8m2, Sơn Trà, Đà Nẵng đẹp, nhiều tiện ích","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vuong-thua-vu-phuong-phuoc-my-prj-sun-costa-residence/ban-ch-1pn-1wc-tai-2-45-ty-33-8m2-son-tra-da-nang-dep-nhieu-tien-ich-pr42916874",""
"121,3 m²","Tây","Tây","5,5 m","10,9 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán nhà kiệt 7,5m Nguyễn Văn Thoại (cách 30m) - Diện tích 121m2 ngang đẹp 5,5m - Giá 10,x tỷ TL","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-thoai-phuong-phuoc-my/ban-kiet-7-5m-cach-30m-dien-tich-121m2-ngang-dep-5-5m-gia-10-x-ty-tl-pr42792722","7,5 m"
"90 m²","","Tây - Bắc","4,5 m","4,4 tỷ","","","","","","","","","","","Bán đất mặt tiền đường Thích Thiện Chiếu. Diện tích 90m2","https://batdongsan.com.vn/ban-dat-duong-thich-thien-chieu-phuong-tho-quang/ban-mat-tien-dien-tich-90m2-pr41295264","5,5 m"
"105 m²","","","5 m","21,2 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","19 phòng","19 phòng","9 tầng","","","Tòa khách sạn và căn hộ cách biển chưa đầy 100 m, thắp đuốc tìm không ra căn thứ 2","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-huy-chuong-phuong-man-thai/toa-khach-san-va-can-ho-cach-bien-chua-day-100-m-thap-duoc-tim-khong-ra-can-thu-2-pr42246389","7,5 m"
"100 m²","","Tây - Bắc","5 m","8 tỷ","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Bán lô Trần Nguyên Hãn phố đi bộ view kênh giá đầu tư tốt nhất TT đầu tuyến Thọ Quang. LV chính chủ","https://batdongsan.com.vn/ban-dat-pho-tran-nguyen-han-phuong-tho-quang/ban-lo-di-bo-view-kenh-gia-dau-tu-tot-nhat-tt-dau-tuyen-lv-chinh-chu-pr42868706","10,5 m"
"50 m²","","","","2,3 tỷ","","","","Cơ bản.","Hợp đồng mua bán","1 phòng","1 phòng","","","","Chủ nhà gửi bán căn góc 50 m2, giá 2,3 tỷ view sông Hàn, cầu quay","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngo-quyen-phuong-an-hai-bac-prj-vinpearl-condotel-da-nang/-view-song-gia-chi-1-4-ty-dep-nhat-du-an-pr38265380",""
"71,8 m²","Đông - Nam","","","Thỏa thuận","","","","Đầy đủ","Hợp đồng mua bán","2 phòng","2 phòng","","","","Top 5 căn hộ 2PN đẹp nhất bên sông Hàn, Đà Nẵng. Bàn giao nội thất cao cấp chuẩn quốc tế- Peninsula","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-duyet-phuong-nai-hien-dong-prj-peninsula-da-nang/top-5-2pn-dep-nhat-song-han-ban-giao-full-noi-that-cao-cap-chuan-quoc-te-peninsula-pr42022846",""
"86 m²","","","","3,4 tỷ","","","","Cơ bản * Full toàn bộ nội thất đẹp. Hệ thống nhà Smarthome nội thất gắn tường, đã có điều hòa, Tủ bếp đầy đủ, giàn phơi thông minh...","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Do vợ chồng cùng chuyển công tác. Mình cần bán căn hộ 02 phòng ngủ full nội thất giá cực tốt","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-trung-2-phuong-an-hai-nam-prj-the-monarchy/do-vo-cng-cung-chuyen-cong-tac-minh-ban-02-png-ngu-full-noi-that-gia-cuc-tot-pr38345568",""
"19 m²","","","","3,8 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","3 phòng","3 tầng","","","(3,8 tỷ TL) nhà 2 lầu Đúc Nguyễn Đình Chiểu, sát mặt tiền..!","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-dinh-chieu-phuong-2-14/-4-2-ty-tl-2-lau-sat-mat-tien-pr42448939","3 m"
"53 m²","","","","2 tỷ","","","","Đầy đủ","","2 phòng","1 phòng","","","","Bán căn 2PN1WC 53m2Full NT cc Thủ Thiêm Garden,269 Liên Phường,Phú Hữu sát GlobalCity, Q9, giá 2 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-phuoc-long-b-prj-thu-thiem-garden/ban-2pn1wc-53m2full-nt-cc-269-phu-huu-sat-globalcity-q9-gia-2-ty-pr42098421",""
"50 m²","","","4,5 m","25,5 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","6 tầng","","","Bán nhà ngõ 106 Hoàng Quốc Việt 50 m2, 6 tầng có thang máy, ngõ thông, 2 ô tô tránh","https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-nghia-do-1/ban-50-m2-6-tang-co-thang-may-ngo-thong-2-o-to-tranh-pr42847357","6 m"
"46 m²","Tây - Nam","Đông - Bắc","","2,55 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Bán CC Ecohome Phúc Lợi, 2,545tỷ, 46m2, 2PN, 1WC, pháp lý đầy đủ tại Long Biên, Hà Nội","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phuc-loi-prj-ecohome-phuc-loi/ban-cc-2-45-ty-46m2-2pn-1wc-phap-ly-day-du-tai-long-bien-ha-noi-pr42133593",""
"46 m²","","Đông","","770 triệu","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Chính chủ cần bán hoặc cho thuê căn hộ NOXH HQC Phú Tài đã có sổ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-hoi-1-phuong-phu-tai-prj-hqc-phu-tai/chinh-chu-ban-ac-c-thue-noxh-da-co-so-pr41875240",""
"286 m²","","Đông - Bắc","11 m","15,5 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán lô đất 11m mặt tiền siêu vip tại Ngòi Đum TP Lào Cai","https://batdongsan.com.vn/ban-dat-duong-ngo-quyen-phuong-kim-tan-1/ban-lo-sieu-vip-tai-ngoi-dum-tp-lao-cai-pr42836580",""
"1.176 m²","","","27 m","375 nghìn/m²","","Theo nhà cung cấp","Theo nhà cung cấp","Cơ bản","","","","","Thỏa thuận","Camera, Bảo vệ, PCCC","Cho thuê văn phòng tại Vĩnh Trung Plaza 255 - 257 Hùng Vương, 375 nghìn / m2, 1176 m2, giá tốt!","https://batdongsan.com.vn/cho-thue-van-phong-duong-hung-vuong-2-prj-vinh-trung-plaza/cho-tai-255-257-375-nghin-m2-1176-m2-gia-tot-pr42490621",""
"150 m²","","","6,5 m","49 triệu/tháng","","","","","","","","","","","Chính chủ cho thuê mặt bằng làm kinh doanh hoặc văn phòng tại 104 Khuất Duy Tiến","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-duong-khuat-duy-tien-phuong-trung-hoa-4/chinh-chu-cho-mat-bang-kinh-doanh-va-van-phong-tai-104-tien-pr42701844",""
"45 m²","","","","13,5 triệu/tháng","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","","","Chính chủ cho thuê nhà Trần Cung - Hoàng Quốc Việt","https://batdongsan.com.vn/cho-thue-nha-rieng-pho-tran-cung-phuong-nghia-tan-3/chinh-chu-cho-hoang-quoc-viet-pr41706258",""
"65 m²","","","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","GIỎ HÀNG SUẤT NỘI BỘ QUỸ CĂN ĐẸP THE GIÓ RIVERSIDE TỪ CDT AN GIA","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-3-phuong-binh-thang-prj-the-gio-riverside/-hang-suat-noi-bo-quy-dep-tu-cdt-an-gia-pr42885403",""
"320 m²","","","","22 tỷ","","","","","Hợp đồng mua bán.","","","3 tầng","","","Chuyển nhượng biệt thự Swan Bay, giá tốt nhất thị trường, nhận booking khu L34 mua trực tiếp CĐT","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-51-xa-dai-phuoc-1-prj-swan-bay/chuyen-nhuong-swanbay-gia-tot-nhat-thi-truong-nhan-booking-khu-l34-mua-truc-tiep-cdt-pr29605935","30 m"
"94 m²","","","","5,9 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Độc quyền quỹ căn 2-3-4PN cần bán gấp, cắt lỗ tại Goldmark City -cập nhật hàng ngày. LH: 0399 028 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/doc-quyen-quy-2-3-4pn-ban-gap-cat-lo-tai-cap-nhat-hang-ngay-lh-pr40076519",""
"175 m²","","","6,8 m","90 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","9 tầng","","","Bán NHÀ MẶT PHỐ LÊ THANH NGHỊ , 170m, 9 tầng, 6.8m mặt tiền ,giá chỉ 90 tỷ DÒNG TIỀN CAO,kinh doanh","https://batdongsan.com.vn/ban-nha-mat-pho-pho-le-thanh-nghi-phuong-bach-khoa/ban-170m-9-tang-6-8m-tien-gia-chi-90-ty-dong-tien-cao-kinh-doanh-pr42877341",""
"50 m²","","","5 m","18 triệu/tháng","","Theo nhà cung cấp","Theo nhà cung cấp","Cơ bản","","4 phòng","4 phòng","4 tầng","Ở ngay","","Cho thuê nhà riêng phố Vọng, DT 50m x 4 tầng , MT 5m, ô tô đỗ cửa, chủ nhà dễ tính, 18 triệu","https://batdongsan.com.vn/cho-thue-nha-rieng-pho-pho-vong-phuong-dong-tam/cho-dt-60m-x-5-tang-mt-5m-o-to-do-cua-chu-de-tinh-22-trieu-pr37337608",""
"48 m²","","","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","","","Bán nhà riêng tại Hà Tôn Quyền, Phường 10, Quận 5, 48m2, 2PN, 2WC, Quận 5,Giá TT 3.8tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-ha-ton-quyen-phuong-10-13/ban-tai-10-quan-5-gia-tt-chi-3-1-ty-48m2-2pn-2wc-quan-5-pr42466941",""
"100 m²","Đông - Nam","Tây - Bắc","","11 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Chủ nhà tin tưởng gửi bán gấp căn hộ DT 100m2 110m 155m 231m2 duplex penhouse dự án Starlake Tây Hồ","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/chu-nha-tin-tuong-gui-ban-gap-dt-100m-110m-155m-231m2-duplex-penuse-du-an-pr41790874",""
