"Description","Location","Price","Price per m²","Space","Title"
"4 PN • Nhà ngõ, hẻm","Quận Đống Đa • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","CHÍNH CHỦ BÁN NHÀ TRUNG PHỤNG, NHÀ ĐẸP , NGÕ XE 3 GÁC , 35M, 7,9 TỶ"
"Đất thổ cư • Ngang 5 m","Huyện Mỹ Đức • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","CC Cần bán nhanh lô đất An Tiến, sát ngay 3 trường học"
"5 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","MẶT PHỐ HOÀNG VĂN THÁI, THANH XUÂN - 38M - 6 TẦNG - Nhỉnh 15 Tỷ"
"2 PN • Hướng Bắc • Căn hộ dịch vụ, mini","Quận Long Biên • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","BÁN CHUNG CƯ C3 NGỌC LÂM, NGUYỄN VĂN CỪ, Ở NGAY, OTO ĐỖ CỬA, FULL ĐỒ"
"2 PN • Tập thể, cư xá","Quận Hai Bà Trưng • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","TẬP THỂ MẶT PHỐ CỔ THI SÁCH 80m2 SỔ ĐỎ NHÀ ĐẸP 2 NGỦ VIEW MẶT PHỐ Ô TO"
"5 PN • Nhà mặt phố, mặt tiền","Quận Đống Đa • 2 ngày trước","13,9 tỷ","278 tr/m²","50 m²","[SIÊU HIẾM] PHÂN LÔ PHỐ TÂY SƠN, ĐỐNG ĐA - NGÕ TO NHƯ PHỐ - 52M CHỈ NH"
"4 PN • Hướng Tây Bắc • Chung cư","Huyện Thanh Trì • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán nhà chung cư"
"Đất thổ cư","Huyện Đông Anh • hôm qua","5,45 tỷ","43 tr/m²","127 m²","LẠI ĐÀ- ĐÔNG HỘI, HÀNG XÓM VIN CỔ LOA- HIẾM ĐẤT BÁN"
"10 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","PHÙNG KHOANG GẦN ĐH HẦ NỘI NGÕ RỘNG DÒNG TIỀN ỔN ĐỊNH 48ttriệu/ THÁNG"
"5 PN • Nhà ngõ, hẻm","Quận Hà Đông • hôm qua","5,45 tỷ","43 tr/m²","127 m²","NHÀ ĐẸP VẠN PHÚC Ở NGAY- CÁCH OTO 5m-DT 55m*5T -5 NGỦ HƠN 6 tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán nhà Hoàng Quốc Việt- DT 45m, 6 T, Thang Máy- Gần Đại Học Điện Lực"
"6 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán gấp nhà đẹp giá rẻ Nguyễn An Ninh50m,6 tầng,mặt tiền 3.4m,15.5 tỷ"
"Đất thổ cư • Ngang 4 m","Quận Hà Đông • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán đất Ba La,ngõ ga,ngõ thông,gần ô tô tránh,giá yêu thương"
"2 PN • Nhà ngõ, hẻm","Quận Đống Đa • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán Nhà Kinh Doanh Trường Chinh 35m, 3 tầng, mt 3.8m, giá 9.65 tỷ."
"6 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Nhà Đẹp Kinh Doanh, Phân Lô, Ô TÔ, Đền Lừ 45m, 6 tầng, giá 19.5 tỷ."
"4 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán Căn Biệt Thự Song Lập Đẳng Cấp 318m, 3 tầng, mt 11m, giá 98.6 tỷ."
"2 PN • Chung cư","Quận Nam Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Siêu hot CC 2PN, 2WC tại West C - Vinhomes Smart City, 5,3 tỷ, 63m2"
"1 PN • Chung cư","Quận Nam Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán CC The Sakura - Vinhomes Smart City, 3,22 tỷ, 43m2, view đẹp"
"1 PN • Hướng Tây Nam • Chung cư","Quận Nam Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán CC The Sakura - Vinhomes Smart City, 2,71 tỷ, 34m2, 1PN, 1WC"
"1 PN • Chung cư","Quận Nam Từ Liêm • hôm qua","5,45 tỷ","43 tr/m²","127 m²","Bán CC Imperia Smart City, 3,88 tỷ, 47,7m2, 1PN, View Hồ , Tây Mỗ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • hôm qua","5,45 tỷ","43 tr/m²","127 m²","SIÊU PHẨM NHÀ ĐẸP VĂN PHÚ- ÔTÔ ĐỖ CỬA -THANG MÁY - NỘI THẤT LONG LANH"
"3 PN • Nhà ngõ, hẻm","Quận Đống Đa • hôm qua","5,45 tỷ","43 tr/m²","127 m²","NHÀ PHỐ CÁT LINH – 5 TẦNG MỚI, GIÁ CHỈ 4.95 TỶ XÁCH VALI VỀ Ở"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • hôm qua","5,45 tỷ","43 tr/m²","127 m²","TRẦN PHÚ CÁCH GA VĂN QUÁN 15M-NGÕ BA GÁC TRÁNH SH THOẢI MÁI"
"3 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","5,45 tỷ","43 tr/m²","127 m²","HOÀNG MAI - TRƯƠNG ĐỊNH - 5 TẦNG 3 NGỦ - Ở NGAY - CHỈ CÓ GIÁ 6,26 TỶ"
"5 PN • Nhà biệt thự","Huyện Mê Linh • hôm qua","5,45 tỷ","43 tr/m²","127 m²","🏡 BÁN CĂN 𝔹𝕀𝔼̣̂𝕋 𝕋ℍ𝕌̛̣ 𝕍𝕀𝕃𝕃𝔸 𝗞Đ𝗧 𝗟ONG VIỆT MÊ LINH"
"3 PN • Nhà ngõ, hẻm","Quận Đống Đa • hôm qua","5,45 tỷ","43 tr/m²","127 m²","THỊNH QUANG- DT:31M -MT:4,5M -5 TẦNG, 3 NGỦ ĐỦ CÔNG NĂNG - CHỈ 6,35 TỶ"
"4 PN • Nhà ngõ, hẻm","Quận Tây Hồ • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","View Hai Con Rồng Hồ Tây – giá ""con ong"" 🐝 Chủ ôm Coin, cần bán gấp!"
"3 PN • Hướng Nam • Nhà ngõ, hẻm","Quận Hà Đông • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Nhà lô góc Phú lương 33m-5T full đồ để lại nội thất, ôto cách 10m"
"nhiều hơn 10 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán nhà Mỹ Đình Trần Hữu Dực 60m2 7T 20P Doanh thu 80tr/tháng"
"3 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Chính chủ bán nhà Đình Thôn 40m2 5T xây mới ngõ rộng Giá 5,5tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán nhà Mỹ Đình 36m2 5 Tầng 80m đường Ô tô tránh Giá chỉ 5.95tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán nhà Đức Diễn Bắc Từ Liêm 40m2 5T 50m đường Ô tô. Giá nhỉnh 6tỷ"
"3 PN • Nhà mặt phố, mặt tiền","Quận Hà Đông • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Mặt phố Trần Phú HĐ 58m2, 5T , vỉa hè 5m giá chỉ 16 tỷ"
"nhiều hơn 10 PN • Hướng Tây Bắc • Nhà mặt phố, mặt tiền","Quận Đống Đa • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Chính chủ bán nhà Thái Thịnh,vị trí vàng 71m2 ôtô tránh 7T thangmáy KD"
"3 PN • Hướng Đông Nam • Chung cư","Quận Long Biên • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán căn hộ Ecohome Phúc Lợi - Long Biên - 78m² 3PN 2WC giá 3,9ty"
"2 PN • Chung cư","Huyện Gia Lâm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","CHỈ 2 TỶ600TR NHẬN NGAY CĂN 2PN1VS DT 60M FULL NỘI THẤT MỚI VÀ ĐẸP OCP"
"3 PN • Chung cư","Quận Long Biên • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Cần bán chung cư Ruby City 3 Phúc Lợi, Long Biên,70m², 3PN giá 3.25tỷ"
"6 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Nhà phố Nguyễn An Ninh Hoàng Mai 56m MT 3,5m 5Tầng, ở+KD.13.8 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Trung tâm Q.Long Biên tầm 4 tỷ hơn, nhà 3 tầng, 3 p.ngủ, gần ô tô"
"4 PN • Nhà ngõ, hẻm","Quận Long Biên • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán đất tặng 2 căn nhà trên đất - gần ô tô - Ngọc Lâm Long Biên"
"4 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Bán nhà Mễ Trì 30m2 6 tầng thang máy cách ô tô 10m giá nhỉnh 6 tỷ"
"4 PN • Nhà mặt phố, mặt tiền","Huyện Thường Tín • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","chính chủ bán nhà 2 tầng thắng lợi dt 100 m mt =hậu 7,41m"
"5 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Hàng Kín! VIP Thanh Xuân, 70m, 10m MT, 3 mặt ô tô tránh, KD đỉnh"
"4 PN • Nhà ngõ, hẻm","Quận Cầu Giấy • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Chính chủ bán nhà Duy Tân, phân lô 3 gác tránh, 2 thoáng, KD, 32m2*5T"
"3 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","Giá cực chất. Bán nhà gần trung tâm quận hoàng Mai,30m2x4 tầng,sdcc"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 24 giờ trước","8,2 tỷ","205 tr/m²","40 m²","BÁN NHÀ THẠCH BÀN CỔ LINH 38M 5 TẦNG GIÁ 5,5 TỶ"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","NHÀ MỚI - LÔ GÓC- GẦN Ô TÔ- SỔ VUÔNG VẮN - Ở LUÔN"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","🔥 SIÊU PHẨM QUẬN LONG BIÊN-DÂN XÂY ĐỘC LẬP_KHÁCH CHỈ XÁCH VALI VỀ Ở."
"5 PN • Nhà ngõ, hẻm","Quận Tây Hồ • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","BÁN NHÀ THỤY KHUÊ- NHÀ MỚI - KINH DOANH-VÀI BƯỚC RA HỒ TÂY LỘNG GIÓ"
"3 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","CỰC NGON - TIỆN ÍCH NHIỀU - TT HAI BÀ TRƯNG - SÁT TRƯỜN G ĐẠI HỌC KIN"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","DÂN XÂY NGÔ QUYỀN TT HÀ ĐÔNG ÔTÔ ĐỖ CỬA- NGÕ THÔNG"
"Đất thổ cư • Ngang 5 m","Huyện Mê Linh • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Bán lô đất 46m2 tại Kim Hoa - Vị trí đẹp, tiềm năng tăng giá cao"
"3 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","nhà mới xây 34m2 hơn 5 đồng Ngũ Nhạc"
"1 PN • Chung cư","Huyện Thanh Trì • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Chỉ 1,25 tỷ, sở hữu căn hộ 36m giá cực tốt. Nhà đẹp"
"2 PN • Nhà ngõ, hẻm","Quận Đống Đa • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","+ TRUNG TÂM ĐỐNG ĐA NGÃ TƯ SỞ - 3 TẦNG - 2 NGỦ - ÔTÔ CÁCH NHÀ 15M - SỔ"
"2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","Quận Thanh Xuân • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","NHÀ ĐẸP DÂN XÂY ĐƯỜNG NGUYỄN XIỄN"
"4 PN • Nhà ngõ, hẻm","Huyện Quốc Oai • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Giá cực tốt, Bán gấp nhà 44m2, Sổ Vuông vắn Đẹp."
"4 PN • Nhà ngõ, hẻm","Quận Hà Đông • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Bán Gấp Nhà 34m2 xây 4T, 4P ngủ 10m ra đường ô tô chạy 300m ra QL6."
"3 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","37m2 nhà mới xây Thanh Đàm 5.4 ty"
"4 PN • Nhà ngõ, hẻm","Quận Nam Từ Liêm • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Nhà Đại Mỗ- 45m- ô tô -dân xây- ô chờ thang máy-9.x tỷ- kinh doanh nhỏ"
"4 PN • Nhà ngõ, hẻm","Quận Đống Đa • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Bán nhà Văn Chương 45m 6 tầng Thang Máy Full Nội Thất Giá 9,5 tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Tây Hồ • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Bán nhà Xuân La 39m 6 tầng Thang Máy Full nội thất Giá 8,8 tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Đống Đa • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","HIẾM *** 1 CĂN NHÀ KHÂM THIÊN 35m×6 TẦNG- NGÕ THÔNG"
"3 PN • Tập thể, cư xá","Quận Hai Bà Trưng • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","Lô góc, 2 thoáng phố Thi Sách nhà đẹp ở ngay 70m2T4 giá 4.85 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","🏡 Nhà Đẹp Ở Ngay Cổ Nhuế - Sổ Đỏ Hoa Hậu - Gần Đường Lớn🏡"
"2 PN • Nhà ngõ, hẻm","Quận Cầu Giấy • 4 ngày trước","4,75 tỷ","158 tr/m²","30 m²","BÁN NHÀ 50M2 TRẦN THÁI TÔNG – DỊCH VỌNG – CẦU GIẤY - GIÁ CẢ SIÊU HỜI"
"3 PN • Nhà ngõ, hẻm","Quận Ba Đình • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán gấp! Ngọc Khánh, ngõ nông, gần phố, gần ô tô, ở ngay!"
"Đất thổ cư • Ngang 5 m","Huyện Đông Anh • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","🔥 🔥 Bán Lô 55m2 Mạch Tràng, Cổ Loa - Ô Tô vào đất - Gần Vin Cổ Loa"
"4 PN • Nhà ngõ, hẻm","Huyện Quốc Oai • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Rộng thoáng- Sân riêng 45m2, 4 tầng. Gần nhà văn hóa - Có chỗ để ô tô"
"3 PN • Nhà ngõ, hẻm","Huyện Quốc Oai • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","NHÀ 50M2 GẦN CHỢ, 300M RA TRỤC LIÊN XÃ- CÓ SÂN RIÊNG 15P TT HÀ ĐÔNG"
"3 PN • Nhà ngõ, hẻm","Huyện Hoài Đức • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Siêu Hiếm -5 tầng gần trục chính Hoa Thám Ô tô đỗ gần- Sau Geleximco D"
"3 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","GẤP: BÁN NHÀ TRẦN KHÁT CHÂN, DT35M; 4,999 TỶ, NGÕ THÔNG, GẦN Ô TÔ"
"3 PN • Nhà ngõ, hẻm","Quận Ba Đình • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","TÔI CẦN BÁN NHÀ phố NGỌC HÀ - ĐỘI CẤN 39m2 5T 50m ra phố sổ chính chủ"
"4 PN • Nhà mặt phố, mặt tiền","Quận Cầu Giấy • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","bán nhà Mặt Phố KHÚC THỪA DỤ-TRẦN THÁI TÔNG KDOANH 44m2 5T GIÁ 27T"
"2 PN • Tập thể, cư xá","Quận Cầu Giấy • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán căn tập thể Cầu Giấy. Giá 3 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","BÁN NHÀ PHÚ LÃM -HÀ ĐÔNG NGÕ NÔNG GIÁ 4,3 tỷ"
"2 PN • Hướng Nam • Nhà ngõ, hẻm","Quận Hoàng Mai • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","BÁN NHÀ PHỐ NGUYỄN CHÍNH - NGÕ RỘNG ĐẸP - Ô TÔ VÀO"
"3 PN • Nhà mặt phố, mặt tiền","Quận Hai Bà Trưng • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","TÔI CHÍNH CHỦ CẦN BÁN CĂN NHÀ 3T PHỐ NGUYỄN CAO -HAI BÀ TRƯNG"
"3 PN • Hướng Tây Bắc • Chung cư","Huyện Gia Lâm • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán căn 3PN nguyên bản CĐT giá 5,1xx tỷ bao phí tầng trung view thoáng"
"nhiều hơn 10 PN • Nhà mặt phố, mặt tiền","Quận Nam Từ Liêm • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Cần bán gấp nhà dòng tiền hơn 100tr/1 tháng mặt tiền hơn 6m"
"3 PN • Hướng Đông Nam • Nhà mặt phố, mặt tiền","Quận Nam Từ Liêm • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán nhà 1 tầng 171m² 2,2 tỷ Xuân Phương"
"10 PN • Nhà ngõ, hẻm","Quận Đống Đa • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Nguyễn Lương Bằng Đống Đa Thang máy Dòng tiền Gần phố 40mx5Tx10P 8 tỷ5"
"2 PN • Tập thể, cư xá","Quận Bắc Từ Liêm • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","TT quân đội Kẻ Giàn Xuân Đỉnh Bắc Từ Liêm 2 mặt thoáng 65mx2N 2 Tỷ 3."
"Đất thổ cư • Ngang 4.5 m","Huyện Sóc Sơn • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","LÔ GÓC 46M - NGÕ THÔNG Ô TÔ VÀO ĐẤT LAI CÁCH XUÂN GIANG SÓC SƠN"
"4 PN • Nhà ngõ, hẻm","Huyện Thanh Trì • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán Gấp Nhà Cổ Điển A Tứ Hiệp Thanh Trì 35m x 5 Tầng Giá 4.9 tỷ."
"4 PN • Nhà ngõ, hẻm","Quận Hà Đông • 4 ngày trước","7,6 tỷ","217 tr/m²","35 m²","Bán nhà 4 tầng 38,2 m2 Phú Lãm Hà Đông"
"3 PN • Hướng Tây • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN NHÀ PHỐ KIM ĐỒNG TÂN MAI HOÀNG MAI VỈA HÈ Ô TÔ TRÁNH KD 5T 10.95TY"
"5 PN • Hướng Tây Nam • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN NHÀ MẶT PHỐ GIÁP BÁT GIẢI PHÓNG HOÀNG MAI 5T THANG MÁY 55M 16.8TY"
"6 PN • Hướng Tây Nam • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN NHÀ MẶT PHỐ GIÁP BÁT KIM ĐỒNG HOÀNG MAI KD ĐỈNH Ô TÔ52MT4.2M15.8TY"
"4 PN • Hướng Đông • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN NHÀ KIM ĐỒNG GIÁP BÁT HOÀNG MAI LÔ GÓC VIEW HỒ Ô TÔ KD 42M 11 TỶ"
"Đất nền dự án • Ngang 5 m","Quận Hoàng Mai • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN ĐẤT TẶNG NHÀ 2T KHU ĐÔ THỊ LINH ĐÀM - HOÀNG MAI VỈA HÈ KD 16 TỶ"
"2 PN • Chung cư","Quận Nam Từ Liêm • hôm qua","10,95 tỷ","304 tr/m²","36 m²","CHUNG CƯ AN LẠC PHÙNG KHOANG, 75M, GIÁ 3,95 TỶ"
"Đất thổ cư","Huyện Đông Anh • hôm qua","10,95 tỷ","304 tr/m²","36 m²","Đất 190m2 tặng 2 tầng cũ , lô góc , ô tô tránh , kinh doanh , Nhuế , k"
"Đất thổ cư • Ngang 6 m","Huyện Thường Tín • hôm qua","10,95 tỷ","304 tr/m²","36 m²","Chủ cần tiền bán gấp 🆘🆘🆘 Bán 81m đỗ xá - vạn điểm. Đường trước đất 6m"
"2 PN • Tập thể, cư xá","Quận Cầu Giấy • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN TẬP THỂ ĐỒNG XA, MAI DỊCH. SỔ 31M/60M, 2N, 1VS, NHÀ ĐẸP. 2 tỷ 96"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","10,95 tỷ","304 tr/m²","36 m²","HÀNG HIẾM PHÚ DIỄN,ÔTÔ ĐỖ CỬA,CHỈ 6.15 TỶ. DT 36m²x 5 tầng,MT 4.1m"
"Đất thổ cư","Huyện Đông Anh • hôm qua","10,95 tỷ","304 tr/m²","36 m²","VÂN NÔI ĐÔNG ANH Ô TÔ ĐỖ CẠNH VIN SAT DỤ ÁN SÂN VÂN ĐÔNG QUỐC GIA"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","10,95 tỷ","304 tr/m²","36 m²","BÁN NHÀ HỒ TÙNG MẬU – GẦN GA TÀU ĐIỆN, 53M², 5 TẦNG, GIÁ 7.1 TỶ"
"2 PN • Hướng Tây • Nhà ngõ, hẻm","Quận Hai Bà Trưng • hôm qua","10,95 tỷ","304 tr/m²","36 m²","Bán nhà Dương Văn Bé 30m2"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","10,95 tỷ","304 tr/m²","36 m²","NHÀ ĐẸP GẦN PHỐ, Hồ Tùng Mậu, Bắc Từ Liêm DT 45m², MT 6.8m.Giá 7.6 tỷ"
"5 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • hôm qua","10,95 tỷ","304 tr/m²","36 m²","Gấp, vương thừa vũ, lô góc, ô tô, KD, dân xây, 52m2, 5T, 12.9 tỷ"
"4 PN • Nhà ngõ, hẻm","Huyện Hoài Đức • hôm qua","10,95 tỷ","304 tr/m²","36 m²","nhà đẹp cạnh cầu vượt an khánh 42m2 4 tầng ô tô vào nhà giá 5,2x tỷ"
